GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1575420030,3,N/A,N/A,N/A,N/A,22.90,N/A
1575420030,8,N/A,N/A,N/A,N/A,21.30,N/A
1575420030,10,N/A,N/A,N/A,N/A,43.30,N/A
1575420030,21,N/A,N/A,N/A,N/A,40.70,N/A
1575420030,27,N/A,N/A,N/A,N/A,32.90,N/A
1575420030,32,N/A,N/A,N/A,N/A,43.50,N/A
1575420030,123,N/A,N/A,N/A,N/A,38.30,N/A
1575420030,127,N/A,N/A,N/A,N/A,33.10,N/A
1599187460,95,N/A,N/A,N/A,N/A,37.70,N/A
1599750020,6,N/A,N/A,N/A,N/A,17.00,N/A
1602562560,5,N/A,N/A,N/A,N/A,40.10,N/A
1603124990,20,N/A,N/A,N/A,N/A,27.30,N/A
1604249980,21,N/A,N/A,N/A,N/A,40.00,N/A
1605374980,4,N/A,N/A,N/A,N/A,16.90,N/A
1561097980,60,N/A,N/A,N/A,N/A,34.50,N/A
1561097980,43,N/A,N/A,N/A,N/A,22.50,N/A
1561097980,42,N/A,N/A,N/A,N/A,36.60,N/A
1561097980,39,N/A,N/A,N/A,N/A,37.90,N/A
1561097980,34,N/A,N/A,N/A,N/A,43.40,N/A
1561097980,33,N/A,N/A,N/A,N/A,21.60,N/A
1561097980,21,N/A,N/A,N/A,N/A,34.00,N/A
1561097980,16,N/A,N/A,N/A,N/A,37.80,N/A
1561097980,14,N/A,N/A,N/A,N/A,27.10,N/A
1561097980,13,N/A,N/A,N/A,N/A,37.90,N/A
1561097980,12,N/A,N/A,N/A,N/A,35.30,N/A
1561097980,11,N/A,N/A,N/A,N/A,37.80,N/A
1561097980,9,N/A,N/A,N/A,N/A,36.30,N/A
1561097980,6,N/A,N/A,N/A,N/A,33.00,N/A
1561097980,5,N/A,N/A,N/A,N/A,29.00,N/A
1561097980,2,N/A,N/A,N/A,N/A,32.10,N/A
1575420030,4,N/A,N/A,N/A,N/A,23.00,N/A
1575420030,10,N/A,N/A,N/A,N/A,22.80,N/A
1575420030,11,N/A,N/A,N/A,N/A,16.60,N/A
1575420030,12,N/A,N/A,N/A,N/A,26.60,N/A
1575420030,19,N/A,N/A,N/A,N/A,27.20,N/A
1575420030,24,N/A,N/A,N/A,N/A,19.80,N/A
