,GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
0,2024-04-13 16:51:36.417342720+00:00,G02,N/A,N/A,N/A,22948159.07468715,43.0,-505.6047058105469
1,2024-04-13 16:51:36.417342720+00:00,G03,N/A,N/A,N/A,24058778.322330758,42.0,-504.386474609375
2,2024-04-13 16:51:36.417342720+00:00,G08,N/A,N/A,N/A,21133596.263502687,47.8,165.79957580566406
3,2024-04-13 16:51:36.417342720+00:00,G10,N/A,N/A,N/A,22788507.905097716,39.0,355.62664794921875
4,2024-04-13 16:51:36.417342720+00:00,G21,N/A,N/A,N/A,21707764.477237504,44.3,-348.5203857421875
5,2024-04-13 16:51:36.417342720+00:00,G27,N/A,N/A,N/A,22142539.095252085,45.2,533.8138427734375
6,2024-04-13 16:51:36.417342720+00:00,G28,N/A,N/A,N/A,23880923.43459964,35.5,-510.6150207519531
7,2024-04-13 16:51:36.417342720+00:00,G32,N/A,N/A,N/A,21445038.954810735,45.6,236.67388916015625
33,2024-04-13 16:51:36.417342720+00:00,G03,N/A,N/A,N/A,24056442.645586737,32.3,-503.9033203125
34,2024-04-13 16:51:36.417342720+00:00,G08,N/A,N/A,N/A,21131245.614471845,34.7,166.0158233642578
35,2024-04-13 16:51:36.417342720+00:00,G27,N/A,N/A,N/A,22140183.036653746,33.7,532.78173828125
36,2024-04-13 16:51:36.417342720+00:00,G32,N/A,N/A,N/A,21442681.116290186,27.8,237.5379638671875
53,2024-04-13 16:51:37.417342976+00:00,G02,N/A,N/A,N/A,22947653.92578402,45.2,-505.4778747558594
54,2024-04-13 16:51:37.417342976+00:00,G03,N/A,N/A,N/A,24058272.54521979,43.4,-504.374755859375
55,2024-04-13 16:51:37.417342976+00:00,G08,N/A,N/A,N/A,21133762.354675133,49.8,165.98670959472656
56,2024-04-13 16:51:37.417342976+00:00,G10,N/A,N/A,N/A,22788861.970015652,41.7,355.7349548339844
57,2024-04-13 16:51:37.417342976+00:00,G21,N/A,N/A,N/A,21707414.914475743,46.7,-348.3982849121094
58,2024-04-13 16:51:37.417342976+00:00,G27,N/A,N/A,N/A,22143068.81406179,47.7,533.9739990234375
59,2024-04-13 16:51:37.417342976+00:00,G28,N/A,N/A,N/A,23880422.194545288,37.8,-510.6340637207031
60,2024-04-13 16:51:37.417342976+00:00,G32,N/A,N/A,N/A,21445273.101832367,46.8,236.8504180908203
86,2024-04-13 16:51:37.417342976+00:00,G03,N/A,N/A,N/A,24055936.86847577,36.7,-504.6493225097656
87,2024-04-13 16:51:37.417342976+00:00,G08,N/A,N/A,N/A,21131410.48412905,38.2,165.76292419433594
88,2024-04-13 16:51:37.417342976+00:00,G27,N/A,N/A,N/A,22140716.071004823,36.6,533.737060546875
89,2024-04-13 16:51:37.417342976+00:00,G32,N/A,N/A,N/A,21442913.44848917,30.0,236.56105041503903
106,2024-04-13 16:51:38.417342976+00:00,G02,N/A,N/A,N/A,22947148.183573492,43.0,-506.27142333984375
107,2024-04-13 16:51:38.417342976+00:00,G03,N/A,N/A,N/A,24057767.396316662,42.4,-505.0639343261719
108,2024-04-13 16:51:38.417342976+00:00,G08,N/A,N/A,N/A,21133925.130306207,48.0,165.32833862304688
109,2024-04-13 16:51:38.417342976+00:00,G10,N/A,N/A,N/A,22789213.626803543,39.7,354.9705505371094
110,2024-04-13 16:51:38.417342976+00:00,G21,N/A,N/A,N/A,21707068.66725535,44.7,-349.1448974609375
111,2024-04-13 16:51:38.417342976+00:00,G27,N/A,N/A,N/A,22143602.75582419,45.5,533.2472534179688
112,2024-04-13 16:51:38.417342976+00:00,G28,N/A,N/A,N/A,23879899.944428775,36.2,-511.4332885742188
113,2024-04-13 16:51:38.417342976+00:00,G32,N/A,N/A,N/A,21445512.344317578,45.5,236.1792755126953
140,2024-04-13 16:51:38.417342976+00:00,G03,N/A,N/A,N/A,24055434.12770269,31.9,-506.5216979980469
141,2024-04-13 16:51:38.417342976+00:00,G08,N/A,N/A,N/A,21131577.482712816,35.0,165.37184143066406
142,2024-04-13 16:51:38.417342976+00:00,G27,N/A,N/A,N/A,22141250.606074624,32.3,533.45703125
143,2024-04-13 16:51:38.417342976+00:00,G28,N/A,N/A,N/A,23877575.95933064,22.1,-511.0576171875
144,2024-04-13 16:51:38.417342976+00:00,G32,N/A,N/A,N/A,21443146.37399556,26.2,235.1298370361328
161,2024-04-13 16:51:39.417343232+00:00,G02,N/A,N/A,N/A,22946643.627977766,45.2,-502.2459411621094
162,2024-04-13 16:51:39.417343232+00:00,G03,N/A,N/A,N/A,24057262.87562137,44.0,-501.1187744140625
163,2024-04-13 16:51:39.417343232+00:00,G08,N/A,N/A,N/A,21134093.629608702,49.5,169.416748046875
164,2024-04-13 16:51:39.417343232+00:00,G10,N/A,N/A,N/A,22789567.656821046,41.6,358.97479248046875
165,2024-04-13 16:51:39.417343232+00:00,G21,N/A,N/A,N/A,21706722.42003496,46.2,-345.1298828125
166,2024-04-13 16:51:39.417343232+00:00,G27,N/A,N/A,N/A,22144136.69758659,47.0,537.2924194335938
167,2024-04-13 16:51:39.417343232+00:00,G28,N/A,N/A,N/A,23879397.48285918,39.1,-507.09564208984375
168,2024-04-13 16:51:39.417343232+00:00,G32,N/A,N/A,N/A,21445751.272698868,48.2,240.2536163330078
194,2024-04-13 16:51:39.417343232+00:00,G03,N/A,N/A,N/A,24054929.29290348,35.9,-500.9246520996094
195,2024-04-13 16:51:39.417343232+00:00,G08,N/A,N/A,N/A,21131744.76050007,38.7,169.3560333251953
196,2024-04-13 16:51:39.417343232+00:00,G27,N/A,N/A,N/A,22141784.233733103,36.5,537.2116088867188
197,2024-04-13 16:51:39.417343232+00:00,G28,N/A,N/A,N/A,23877069.623812705,25.4,-507.5027770996094
198,2024-04-13 16:51:39.417343232+00:00,G32,N/A,N/A,N/A,21443390.397840433,28.3,240.5704040527344
215,2024-04-13 16:51:40.417343232+00:00,G02,N/A,N/A,N/A,22946134.88432978,45.2,-502.9743347167969
216,2024-04-13 16:51:40.417343232+00:00,G03,N/A,N/A,N/A,24056764.32290055,44.2,-501.73736572265625
217,2024-04-13 16:51:40.417343232+00:00,G08,N/A,N/A,N/A,21134264.222937327,49.4,168.81280517578125
218,2024-04-13 16:51:40.417343232+00:00,G10,N/A,N/A,N/A,22789929.818640016,41.1,358.2361145019531
219,2024-04-13 16:51:40.417343232+00:00,G21,N/A,N/A,N/A,21706370.44914315,45.8,-345.81219482421875
220,2024-04-13 16:51:40.417343232+00:00,G27,N/A,N/A,N/A,22144674.513297327,46.8,536.6227416992188
221,2024-04-13 16:51:40.417343232+00:00,G28,N/A,N/A,N/A,23878889.96072644,39.9,-507.8260803222656
222,2024-04-13 16:51:40.417343232+00:00,G32,N/A,N/A,N/A,21445988.700361434,47.5,239.6295318603516
248,2024-04-13 16:51:40.417343232+00:00,G03,N/A,N/A,N/A,24054427.42464129,36.5,-501.6851806640625
249,2024-04-13 16:51:40.417343232+00:00,G08,N/A,N/A,N/A,21131912.038287323,38.5,168.8660888671875
250,2024-04-13 16:51:40.417343232+00:00,G10,N/A,N/A,N/A,22787581.228734866,21.4,357.8804931640625
251,2024-04-13 16:51:40.417343232+00:00,G27,N/A,N/A,N/A,22142321.456136435,37.7,536.688720703125
252,2024-04-13 16:51:40.417343232+00:00,G32,N/A,N/A,N/A,21443629.640325643,28.8,239.64028930664065
269,2024-04-13 16:51:41.417343488+00:00,G02,N/A,N/A,N/A,22945633.609374993,45.3,-502.3953247070313
270,2024-04-13 16:51:41.417343488+00:00,G03,N/A,N/A,N/A,24056262.454638354,44.1,-501.1844177246094
271,2024-04-13 16:51:41.417343488+00:00,G08,N/A,N/A,N/A,21134432.408135902,49.4,169.46388244628906
272,2024-04-13 16:51:41.417343488+00:00,G10,N/A,N/A,N/A,22790279.381401777,35.7,358.9184265136719
273,2024-04-13 16:51:41.417343488+00:00,G21,N/A,N/A,N/A,21706031.07730855,45.8,-345.2157897949219
274,2024-04-13 16:51:41.417343488+00:00,G27,N/A,N/A,N/A,22145212.3639085,46.5,537.2451171875
275,2024-04-13 16:51:41.417343488+00:00,G28,N/A,N/A,N/A,23878375.807510957,37.6,-507.26116943359375
276,2024-04-13 16:51:41.417343488+00:00,G32,N/A,N/A,N/A,21446231.5375915,46.9,240.298583984375
302,2024-04-13 16:51:41.417343488+00:00,G03,N/A,N/A,N/A,24053925.870483015,36.2,-501.1670227050781
303,2024-04-13 16:51:41.417343488+00:00,G08,N/A,N/A,N/A,21132082.038308542,38.6,169.49134826660156
304,2024-04-13 16:51:41.417343488+00:00,G10,N/A,N/A,N/A,22787933.79293408,27.6,358.5812683105469
305,2024-04-13 16:51:41.417343488+00:00,G27,N/A,N/A,N/A,22142857.77112845,36.3,537.2643432617188
306,2024-04-13 16:51:41.417343488+00:00,G28,N/A,N/A,N/A,23876049.728386693,25.1,-507.7703247070313
307,2024-04-13 16:51:41.417343488+00:00,G32,N/A,N/A,N/A,21443871.290940903,29.4,240.3651580810547
324,2024-04-13 16:51:42.417343488+00:00,G02,N/A,N/A,N/A,22945128.18126838,44.7,-503.2236633300781
325,2024-04-13 16:51:42.417343488+00:00,G03,N/A,N/A,N/A,24055757.899042632,43.8,-501.9509887695313
326,2024-04-13 16:51:42.417343488+00:00,G08,N/A,N/A,N/A,21134601.77994928,49.4,168.75726318359375
327,2024-04-13 16:51:42.417343488+00:00,G21,N/A,N/A,N/A,21705684.515984237,45.9,-346.0337219238281
328,2024-04-13 16:51:42.417343488+00:00,G27,N/A,N/A,N/A,22145752.273645364,45.7,536.4755859375
329,2024-04-13 16:51:42.417343488+00:00,G28,N/A,N/A,N/A,23877877.254790135,37.7,-508.0219421386719
330,2024-04-13 16:51:42.417343488+00:00,G32,N/A,N/A,N/A,21446472.87410284,48.1,239.5531311035156
355,2024-04-13 16:51:42.417343488+00:00,G03,N/A,N/A,N/A,24053424.31632474,35.3,-501.9090576171875
356,2024-04-13 16:51:42.417343488+00:00,G08,N/A,N/A,N/A,21132251.689325407,38.9,168.8057861328125
357,2024-04-13 16:51:42.417343488+00:00,G10,N/A,N/A,N/A,22788292.045904275,29.1,358.08837890625
358,2024-04-13 16:51:42.417343488+00:00,G27,N/A,N/A,N/A,22143394.714328296,35.3,536.5411376953125
359,2024-04-13 16:51:42.417343488+00:00,G32,N/A,N/A,N/A,21444111.720040917,28.8,239.4873809814453
376,2024-04-13 16:51:43.417343744+00:00,G02,N/A,N/A,N/A,22944628.127828833,44.9,-503.2600402832031
